Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"S.E.E.K's Monthly Newsletter",Sponsorship/Donations,"General email list","Feb 24, 2014 08:00 am",Monday,213,209,1,3,4,0,0,87,41.63%,144,8,3.83%,11,1,0,0,0,f554d06e1c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter",Donations/Sponsors/Volunteers,"General email list","Mar 19, 2014 08:00 am",Wednesday,233,228,0,5,5,0,0,94,41.23%,187,8,3.51%,11,0,0,0,0,8d59444db8,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter",Donations/Sponsors/Volunteers,"General email list","Apr 18, 2014 08:00 am",Friday,232,230,1,1,2,0,0,82,35.65%,132,4,1.74%,4,0,0,0,0,7c3b4dcf2d,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter","Donations/Sponsors/Volunteers CORRECTION FEEDING DATE","General email list","Apr 18, 2014 11:29 am",Friday,232,231,1,0,1,0,0,83,35.93%,135,2,0.87%,3,0,0,0,0,7ed411a7dd,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter",Donations/Sponsors/Volunteers,"General email list","Apr 23, 2014 08:00 am",Wednesday,3,3,0,0,0,0,0,2,66.67%,3,0,0.00%,0,0,0,0,0,3586248a9c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter (copy 01)","What's Happening in June!","General email list","May 29, 2014 08:00 am",Thursday,236,234,2,0,2,0,0,85,36.32%,147,8,3.42%,10,1,0,0,0,490d715e03,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter (copy 02)","What's Happening in June!","General email list","Jun 04, 2014 08:13 am",Wednesday,235,233,2,0,2,0,0,74,31.76%,139,8,3.43%,14,0,0,0,0,26aa9018fa,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter","What's Happening in July!","General email list","Jun 25, 2014 02:05 pm",Wednesday,262,255,6,1,7,0,0,83,32.55%,115,8,3.14%,10,1,0,0,0,dfe94879ef,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter","What's Happening in August!","General email list","Jul 28, 2014 09:00 am",Monday,262,257,4,1,5,0,0,81,31.52%,112,5,1.95%,8,0,0,0,0,13f1550548,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter","What's Happening in September!","General email list","Aug 25, 2014 09:00 am",Monday,262,257,3,2,5,0,0,74,28.79%,110,3,1.17%,9,0,0,0,0,654d324727,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter","What's Happening in October!","General email list","Sep 22, 2014 09:00 am",Monday,260,257,3,0,3,0,0,74,28.79%,153,6,2.33%,11,2,0,0,0,fb08d8d303,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter","What's Happening in November!","General email list","Oct 13, 2014 09:00 am",Monday,260,256,4,0,4,0,0,65,25.39%,134,1,0.39%,1,0,0,0,0,e1e8db0f03,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K, Inc., Monthly Newsletter","What's Happening in November!","General email list","Oct 27, 2014 09:00 am",Monday,370,349,13,8,21,0,0,105,30.09%,200,5,1.43%,10,1,0,0,0,1dfbef0c1c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's Monthly Newsletter","What's happening in December???","General email list","Nov 25, 2014 12:57 pm",Tuesday,364,350,13,1,14,0,0,109,31.14%,210,7,2.00%,7,0,0,0,0,74382840e5,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's participation with the Wade's World Foundation","SEEK's participation with the Wade's World Foundation","General email list","Dec 03, 2014 07:12 am",Wednesday,366,353,12,1,13,0,0,120,33.99%,206,1,0.28%,2,2,0,0,0,ec678787cf,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"S.E.E.K's Christmas Give Away","S.E.E.K's Christmas Give Away","General email list","Dec 19, 2014 06:24 am",Friday,364,352,12,0,12,0,0,95,26.99%,206,9,2.56%,9,1,0,0,0,1a0064ca78,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's Monthly Newsletter","Happy New Year!",Anike,"Dec 24, 2014 09:48 am",Wednesday,1,1,0,0,0,0,0,1,100.00%,1,0,0.00%,0,0,0,0,0,3e070d5519,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's Monthly Newsletter","Merry Christmas and a Happy New Year!","General email list","Dec 24, 2014 09:52 am",Wednesday,365,352,13,0,13,0,0,82,23.30%,129,3,0.85%,3,1,0,0,0,3876f5d458,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Volunteers,"Volunteer to Feed & Clothe The Homeless","General email list","Dec 26, 2014 12:13 pm",Friday,395,376,1,18,19,0,0,104,27.66%,152,14,3.72%,23,1,1,0,0,192112f4be,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Volunteer to Feed & Clothe The Homeless","Volunteer with SEEK to Feed & Clothe The Homeless","General email list","Jan 25, 2015 09:35 pm",Sunday,378,377,0,1,1,0,0,108,28.65%,179,14,3.71%,21,2,0,0,0,9bf45dbb43,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's Monthly Newsletter","Let's Celebrate Black History!","General email list","Feb 03, 2015 09:00 am",Tuesday,376,375,0,1,1,0,0,84,22.40%,111,1,0.27%,1,0,0,0,0,bd1c8d0e72,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Orientation for S.E.E.K. Volunteers","SEEK Volunteer Orientation","General email list","Feb 18, 2015 05:39 pm",Wednesday,375,374,0,1,1,0,0,119,31.82%,191,12,3.21%,12,2,0,0,0,2a6ae27752,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's monthly newsletter","What is happening in March???","General email list","Mar 05, 2015 09:00 am",Thursday,373,373,0,0,0,0,0,86,23.06%,119,0,0.00%,0,1,0,0,0,e7cdadb7b8,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Volunteer Orientation Procedures","Volunteer Orientation Procedures","General email list","Mar 13, 2015 08:00 am",Friday,372,371,1,0,1,0,0,86,23.18%,128,0,0.00%,0,1,0,0,0,80bc859779,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"STEM on Wheels Program","STEM on Wheels Program","General email list","Mar 16, 2015 06:03 am",Monday,371,369,2,0,2,0,0,82,22.22%,110,5,1.36%,7,2,0,0,0,3db77beae5,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Orientation for Volunteers","Orientation for Volunteers","General email list","Mar 21, 2015 08:25 am",Saturday,369,367,2,0,2,0,0,79,21.53%,102,0,0.00%,0,1,0,0,0,2557cc420c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's monthly newsletter","What is happening in April???","General email list","Mar 30, 2015 09:00 am",Monday,368,367,1,0,1,0,0,77,20.98%,104,6,1.63%,6,1,0,0,0,ec79a70f15,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's monthly newsletter","What's happening in May???","General email list","Apr 27, 2015 09:00 am",Monday,367,365,1,1,2,0,0,89,24.38%,109,3,0.82%,5,1,0,0,0,836883c353,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Volunteer to Feed & Clothe The Homeless","Volunteer with SEEK to Feed & Clothe The Homeless","General email list","Apr 28, 2015 12:00 pm",Tuesday,365,365,0,0,0,0,0,67,18.36%,124,3,0.82%,3,0,0,0,0,82517442ec,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Online Orientation for Volunteers","Online Orientation for Volunteers","General email list","May 15, 2015 06:58 am",Friday,365,363,1,1,2,0,0,77,21.21%,93,0,0.00%,0,0,0,0,0,64deb1e4ad,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Feed and Clothe the Homeless  ","Feed and Clothe the Homeless  ","General email list","Jun 05, 2015 01:24 am",Friday,365,363,1,1,2,0,0,81,22.31%,110,1,0.28%,1,1,0,0,0,5d5687fbf2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"3rd Annual Get Hip & Fit Fair","Volunteer for The Get Hip & Fit Fair ","General email list","Jul 01, 2015 02:30 pm",Wednesday,364,351,12,1,13,0,0,62,17.66%,140,3,0.85%,4,0,0,0,0,7adfe5c869,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"3rd Annual Get Hip & Fit Fair","Volunteer for The Get Hip & Fit Fair ","General email list","Jul 04, 2015 12:00 pm",Saturday,363,351,12,0,12,0,0,53,15.10%,80,2,0.57%,7,1,0,0,0,7715118461,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"3rd Annual Get Hip & Fit Fair (copy 02)","Volunteer for The Get Hip & Fit Fair ","General email list","Jul 06, 2015 12:00 pm",Monday,362,350,12,0,12,0,0,52,14.86%,70,2,0.57%,3,0,0,0,0,22a86d326a,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"3rd Annual Get Hip & Fit Fair (copy 03)","Volunteer for The Get Hip & Fit Fair ","General email list","Jul 08, 2015 10:00 am",Wednesday,362,350,12,0,12,0,0,47,13.43%,64,2,0.57%,2,0,0,0,0,e2165857fc,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Volunteer to Feed & Clothe The Homeless (copy 02)","Volunteer with SEEK to Feed & Clothe The Homeless","General email list","Jul 11, 2015 12:00 pm",Saturday,363,351,12,0,12,0,0,63,17.95%,106,6,1.71%,7,1,1,0,0,2a9471394a,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Back to School Celebration ","Back to School Celebration ","General email list","Aug 05, 2015 09:49 am",Wednesday,361,348,3,10,13,0,0,84,24.14%,116,0,0.00%,0,2,0,0,0,899150b8e9,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's monthly newsletter","What's happening in August???","General email list","Aug 11, 2015 09:26 am",Tuesday,359,357,2,0,2,0,0,66,18.49%,81,2,0.56%,2,4,0,0,0,bfabc6550a,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Volunteer to Feed & Clothe The Homeless - Rescheduled","Volunteer with SEEK to Feed & Clothe The Homeless -Rescheduled","General email list","Sep 05, 2015 08:05 am",Saturday,345,341,4,0,4,0,0,62,18.18%,70,4,1.17%,16,0,0,0,0,1dae6f3574,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Reminder - Volunteer to Feed & Clothe The Homeless","Volunteer with SEEK to Feed & Clothe The Homeless","General email list","Oct 01, 2015 06:02 pm",Thursday,345,340,4,1,5,0,0,51,15.00%,98,2,0.59%,4,0,0,0,0,07cf39d002,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Reschedule - Volunteer to Feed & Clothe The Homeless","Volunteer with SEEK to Feed & Clothe The Homeless","General email list","Oct 03, 2015 11:55 am",Saturday,345,339,5,1,6,0,0,51,15.04%,68,1,0.29%,1,0,0,0,0,de67024335,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Putt for Pink","Putt for Pink","General email list","Oct 07, 2015 08:20 pm",Wednesday,344,339,4,1,5,0,0,74,21.83%,97,1,0.29%,1,0,0,0,0,c591930554,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Putt for Pink!","Putt for Pink!","General email list","Oct 21, 2015 10:24 am",Wednesday,344,339,5,0,5,0,0,69,20.35%,102,2,0.59%,2,0,0,0,0,5c2a64f88f,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"SEEK's monthly newsletter","Wrapping up the year...","General email list","Nov 09, 2015 09:00 am",Monday,348,343,1,4,5,0,0,58,16.91%,90,2,0.58%,4,0,0,0,0,c57f79c590,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Veterans Day","Veterans Day","General email list","Nov 11, 2015 08:36 am",Wednesday,347,345,1,1,2,0,0,60,17.39%,106,1,0.29%,1,0,0,0,0,7c16ed2def,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Give Thanks!","Give Thanks!","General email list","Nov 25, 2015 01:10 pm",Wednesday,345,343,2,0,2,0,0,64,18.66%,90,1,0.29%,1,2,0,0,0,dc205a5be7,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Third Annual Christmas Give-Away ","Third Annual Christmas Give-Away ","General email list","Nov 30, 2015 06:48 am",Monday,343,341,2,0,2,0,0,52,15.25%,68,1,0.29%,1,1,0,0,0,8b1afd908a,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Merry Christmas ","Merry Christmas ","General email list","Dec 24, 2015 12:53 pm",Thursday,342,341,1,0,1,0,0,47,13.78%,55,1,0.29%,1,5,0,0,0,5997a88a1e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Happy Martin Luther King Day","Happy Martin Luther King Day","General email list","Jan 18, 2016 11:02 am",Monday,337,334,1,2,3,0,0,54,16.17%,81,0,0.00%,0,2,0,0,0,687692ed99,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Happy Valentine's Day ","Happy Valentine's Day ","General email list","Feb 14, 2016 09:12 am",Sunday,333,332,0,1,1,0,0,44,13.25%,58,2,0.60%,2,0,1,0,0,1f88b05dda,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Feed and Clothe the Hungry/Homeless","Feed and Clothe the Hungry/Homeless","General email list","Mar 21, 2016 08:02 am",Monday,331,329,1,1,2,0,0,66,20.06%,108,3,0.91%,3,0,0,0,0,455d791a78,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Happy Easter","Happy Easter","General email list","Mar 27, 2016 09:45 am",Sunday,331,329,1,1,2,0,0,51,15.50%,80,2,0.61%,2,1,0,0,0,cc8df3454c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] We love our Volunteers","We love our Volunteers","General email list","Apr 14, 2016 10:28 am",Thursday,329,327,2,0,2,0,0,53,16.21%,76,1,0.31%,1,2,0,0,0,ff073c8e24,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Happy Mother's Day","Happy Mother's Day","General email list","May 08, 2016 08:16 am",Sunday,327,324,3,0,3,0,0,39,12.04%,50,1,0.31%,1,1,0,0,0,16e1477cc4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Feed and Clothe the Homeless/Hungry","Feed and Clothe the Homeless/Hungry","General email list","May 26, 2016 09:24 am",Thursday,327,325,2,0,2,0,0,44,13.54%,89,3,0.92%,3,0,0,0,0,d8118373a5,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Happy Memorial Day","Happy Memorial Day","General email list","May 30, 2016 12:37 pm",Monday,327,326,0,1,1,0,0,32,9.82%,36,0,0.00%,0,0,0,0,0,943d3473e9,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Boot Camp Fundraiser","Boot Camp Fundraiser","General email list","Jun 11, 2016 11:39 am",Saturday,326,326,0,0,0,0,0,37,11.35%,68,0,0.00%,0,0,0,0,0,a7235088cb,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Get Hip and Fit Fair","Get Hip and Fit Fair","General email list","Jul 18, 2016 01:23 pm",Monday,326,323,0,3,3,0,0,51,15.79%,70,3,0.93%,4,3,0,0,0,bc5c0b79a4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Back to School Celebration","Back to School Celebration","General email list","Jul 27, 2016 10:48 am",Wednesday,323,321,0,2,2,0,0,45,14.02%,59,0,0.00%,0,1,0,0,0,1ad251f1ef,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Change of Date- Back to School Celebration","Change of Date- Back to School Celebration","General email list","Aug 01, 2016 10:35 am",Monday,319,319,0,0,0,0,0,40,12.54%,52,0,0.00%,0,1,0,0,0,469496b739,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Godmother Finalist ","Godmother Finalist ","General email list","Oct 12, 2016 08:09 am",Wednesday,319,318,1,0,1,0,0,52,16.35%,148,18,5.66%,39,0,0,0,0,779efe0d3f,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Happy Holiday","Happy Holiday","General email list","Nov 24, 2016 07:26 am",Thursday,319,316,2,1,3,0,0,37,11.71%,58,2,0.63%,3,3,0,0,0,b01a18dbc3,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] This is the season to be Jolly!","Holidays ","General email list","Dec 25, 2016 03:08 am",Sunday,316,314,2,0,2,0,0,34,10.83%,39,0,0.00%,0,1,0,0,0,3a219aa1db,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Happy New Year","Year 2017","General email list","Jan 01, 2017 08:26 am",Sunday,315,313,1,1,2,0,0,32,10.22%,59,1,0.32%,2,2,0,0,0,08de3d03d0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Happy Mother's Day","Thank a mother! ","General email list","May 14, 2017 07:46 am",Sunday,312,310,1,1,2,0,0,24,7.74%,30,0,0.00%,0,0,0,0,0,b69607fd51,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Everyday Heros","Memorial Day","General email list","May 29, 2017 11:01 am",Monday,311,298,12,1,13,0,0,34,11.41%,42,2,0.67%,4,0,0,0,0,ceb1fa156b,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Kids Get Hip and Fit Fair","Health and Fitness ","General email list","Jun 13, 2017 11:54 am",Tuesday,310,309,1,0,1,0,0,44,14.24%,69,2,0.65%,4,2,0,0,0,87e6e8d24d,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Kids Get Hip and Fit Fair","Donations for Health and Fitness Fair","General email list","Jun 13, 2017 01:46 pm",Tuesday,309,306,2,1,3,0,0,45,14.71%,53,5,1.63%,6,0,0,0,0,be314deca6,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"[Snap] Happy Father's Day","It is a celebration! ","General email list","Jun 18, 2017 09:19 am",Sunday,308,307,1,0,1,0,0,36,11.73%,43,0,0.00%,0,1,0,0,0,394f294304,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"What is new with SEEK?","A New Day for SEEK Foundation","General email list","Oct 16, 2018 10:23 am",Tuesday,349,331,8,10,18,0,0,82,24.77%,139,13,3.93%,20,1,0,0,0,6141a0bd13,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
